Ticker,Close,Signal,Score,Target,StopLoss,RSI,RSI_Weekly,RSI_Monthly,ADX,Vol_Ratio,Return_1D_pct,Pct_vs_MA50,Pct_vs_MA200,PE_Ratio,MACD,MACD_Signal_Line,MACD_Hist,ATR,StochRSI_K,Williams_R,Supertrend_Dir,BB_PctB,Pct_from_52W_High,Pct_from_52W_Low,Pivot,R1,R2,S1,S2,Trend_Phase,Buy_Rules,Sell_Rules,Rules_Fired,ROE_pct,Debt_Equity,Div_Yield,Sector
NAUKRI,1350.1,STRONG BUY,100,1443.9,1293.82,65.6,70.7,56.5,44.4,0.28,-0.79,15.6,17.63,54.8,56.1222,55.8723,0.2498,37.52,56.3,-24.3,1,73.4,-5.4,49.1,1354.37,1363.53,1376.97,1340.93,1331.77,Markup,"Golden Cross, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Golden Cross, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,0.64,106.0,Consumer Services
MINDACORP,727.85,STRONG BUY,100,791.97,689.38,55.5,70.3,73.2,36.9,0.28,-2.08,4.87,22.2,34.5,14.1315,14.1976,-0.0661,25.65,43.9,-59.6,1,62.5,-5.4,55.5,733.72,742.08,756.32,719.48,711.12,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,55.35,22.0,Automobile and Auto Components
AJANTPHARM,3639.8,STRONG BUY,100,3894.85,3486.77,63.7,75.1,63.9,39.7,0.47,-0.51,7.77,23.6,40.4,90.636,83.3922,7.2438,102.02,58.6,-39.8,1,72.8,-4.1,59.4,3660.77,3696.53,3753.27,3604.03,3568.27,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,5.87,173.0,Healthcare
KPIL,1404.5,STRONG BUY,100,1507.78,1342.53,61.8,61.0,55.7,31.0,0.44,1.22,4.6,15.28,21.1,21.3496,12.256,9.0936,41.31,69.7,-31.6,1,86.3,-4.3,40.6,1401.13,1415.37,1426.23,1390.27,1376.03,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,45.81,80.0,Construction
KOTAKBANK,402.8,STRONG BUY,100,420.09,392.43,62.2,49.5,58.1,27.2,1.59,1.37,2.85,0.72,19.8,2.024,1.3803,0.6437,6.92,64.0,-16.4,1,104.7,-11.0,16.8,402.37,406.43,410.07,398.73,394.67,Accumulation,"Value+Momentum, Breakout, Supertrend Bull, OBV Confirm",None,"Value+Momentum, Breakout, Supertrend Bull, OBV Confirm",,,16.0,Financial Services
M&MFIN,381.6,STRONG BUY,100,416.78,360.49,52.9,64.1,68.8,37.2,0.39,-0.22,9.62,13.96,16.3,10.3575,15.0983,-4.7407,14.07,2.8,-93.8,1,28.4,-8.0,54.2,382.62,385.83,390.07,378.38,375.17,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, Rel Strong",,429.85,193.0,Financial Services
DIVISLAB,8597.0,STRONG BUY,100,8996.22,8357.47,73.8,83.7,74.6,62.0,0.34,0.32,15.6,29.73,88.9,342.519,366.6802,-24.1612,159.69,10.4,-17.5,1,70.3,-0.9,53.2,8570.83,8636.17,8675.33,8531.67,8466.33,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",,0.04,35.0,Healthcare
KALYANKJIL,603.55,STRONG BUY,100,658.08,570.83,60.4,71.8,69.1,28.3,0.37,1.27,18.8,35.28,43.5,23.0804,30.6134,-7.5331,21.81,11.6,-38.5,1,51.7,-7.0,84.5,600.98,610.47,617.38,594.07,584.58,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",,96.97,42.0,Consumer Durables
COHANCE,463.0,STRONG BUY,100,511.07,434.16,58.2,48.6,46.0,38.1,1.21,-2.64,5.06,6.44,156.9,6.3231,3.3253,2.9979,19.23,67.5,-31.3,1,86.7,-55.4,73.6,467.02,477.03,491.07,452.98,442.97,Markup,"Golden Cross, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Golden Cross, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,9.93,0.0,Healthcare
DIXON,14850.0,STRONG BUY,100,15816.88,14269.87,67.9,63.3,58.2,23.8,1.58,0.0,10.41,21.81,42.4,297.6275,273.8082,23.8193,386.75,99.4,-7.9,1,108.6,-19.6,54.7,14798.0,14976.0,15102.0,14672.0,14494.0,Markup,"Value+Momentum, Breakout, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Value+Momentum, Breakout, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,18.46,6.0,Consumer Durables
GLAND,2819.3,STRONG BUY,100,3050.02,2680.87,62.9,79.9,65.3,46.0,0.27,-0.02,12.84,42.17,41.2,118.1929,115.5226,2.6702,92.29,23.5,-41.8,1,66.5,-7.3,80.5,2829.73,2867.47,2915.63,2781.57,2743.83,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,2.74,70.0,Healthcare
SONATSOFTW,304.0,STRONG BUY,100,339.06,282.97,46.1,58.8,32.2,26.7,0.31,-0.65,1.61,3.12,18.3,3.3155,7.4186,-4.1031,14.02,0.0,-96.9,1,24.6,-26.0,49.3,305.05,307.85,311.7,301.2,298.4,Accumulation,"Value+Momentum, Golden Cross, Supertrend Bull, EMA Ribbon Bull, Rel Strong",None,"Value+Momentum, Golden Cross, Supertrend Bull, EMA Ribbon Bull, Rel Strong",,37.96,258.0,Information Technology
FEDERALBNK,361.0,STRONG BUY,100,377.42,351.15,60.8,73.7,78.5,43.8,1.02,1.6,5.93,24.0,19.5,4.7197,5.6799,-0.9602,6.57,31.5,-22.0,1,76.1,-2.5,92.3,359.05,362.95,364.9,357.1,353.2,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm",,,34.0,Financial Services
ENGINERSIN,244.91,STRONG BUY,100,264.69,233.04,57.2,57.1,50.4,25.5,1.11,3.25,3.04,13.65,17.6,2.3442,1.6923,0.6518,7.91,48.8,-28.7,1,76.1,-8.3,50.9,242.53,248.87,252.82,238.58,232.24,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,0.53,211.0,Construction
ZFCVINDIA,2662.0,STRONG BUY,100,2837.77,2556.54,64.4,59.2,56.1,51.8,0.9,1.54,6.76,10.05,3.0,59.3882,52.6718,6.7164,70.31,46.2,-11.8,1,74.7,-12.4,30.1,2643.97,2692.03,2722.07,2613.93,2565.87,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, Rel Strong",,,15.0,Automobile and Auto Components
TVSMOTOR,4390.0,STRONG BUY,100,4591.52,4269.09,66.4,67.3,73.0,43.9,0.78,0.0,13.05,19.84,61.0,147.8092,172.2843,-24.4751,80.61,11.6,-47.8,1,62.3,-1.9,36.8,4372.53,4407.47,4424.93,4355.07,4320.13,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",,306.09,28.0,Automobile and Auto Components
UNITDSPR,1556.0,STRONG BUY,100,1628.96,1512.22,65.8,68.8,66.5,43.4,1.24,0.78,8.8,14.25,65.5,32.7508,36.5769,-3.8261,29.19,27.5,-12.3,1,95.4,-0.5,29.5,1548.8,1570.6,1585.2,1534.2,1512.4,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong, Near 52W High",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong, Near 52W High",,4.61,110.0,Fast Moving Consumer Goods
UNIONBANK,183.45,STRONG BUY,100,194.74,176.68,58.2,65.3,64.4,33.6,0.58,-0.67,6.18,10.16,6.9,4.3502,4.3589,-0.0088,4.52,28.4,-39.3,1,63.2,-8.1,51.5,183.75,185.0,186.55,182.2,180.95,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",15.8,,271.0,Financial Services
HINDALCO,1034.0,STRONG BUY,100,1094.29,997.83,55.2,57.1,67.1,27.6,0.55,0.4,4.75,8.76,14.2,16.4192,17.0829,-0.6637,24.12,9.0,-56.9,1,59.2,-11.6,49.1,1033.02,1041.43,1048.87,1025.58,1017.17,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, Rel Strong",,72.6,48.0,Metals & Mining
HEG,710.75,STRONG BUY,100,773.7,672.98,65.3,68.1,70.1,61.8,0.5,-0.17,17.74,25.28,38.1,30.4445,31.1524,-0.7079,25.18,2.7,-44.5,1,79.8,-5.1,55.5,712.58,720.17,729.58,703.17,695.58,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,16.73,48.0,Capital Goods
INDGN,567.8,STRONG BUY,100,610.44,542.21,64.5,62.2,69.8,32.9,0.46,0.19,8.22,12.6,34.2,14.494,13.806,0.6881,17.06,42.7,-30.9,1,71.5,-4.4,37.8,565.2,573.15,578.5,559.85,551.9,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, Rel Strong",,5.04,40.0,Healthcare
IIFL,679.8,STRONG BUY,100,729.25,650.13,78.0,71.8,65.1,50.6,5.21,6.77,19.64,28.4,13.7,23.7446,22.16,1.5846,19.78,60.7,-8.7,1,119.4,-1.1,66.2,670.67,696.23,712.67,654.23,628.67,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong, Near 52W High",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong, Near 52W High",,447.42,63.0,Financial Services
LODHA,1242.0,STRONG BUY,100,1338.75,1183.95,58.6,64.2,53.2,31.5,0.63,0.16,10.31,22.41,30.1,25.9966,33.4994,-7.5029,38.7,35.1,-26.0,1,54.5,-7.3,91.5,1245.4,1258.6,1275.2,1228.8,1215.6,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",,42.24,35.0,Realty
CHENNPETRO,1393.5,STRONG BUY,100,1565.67,1290.2,61.5,72.5,63.5,36.3,0.32,0.22,17.75,41.13,5.1,67.6735,61.1799,6.4937,68.87,40.5,-35.7,1,75.4,-6.5,129.1,1393.83,1407.67,1421.83,1379.67,1365.83,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,17.68,430.0,Oil Gas & Consumable Fuels
PNBHOUSING,1170.3,STRONG BUY,100,1249.3,1122.9,64.9,67.8,58.0,27.7,0.53,-0.44,8.32,22.9,13.2,27.5505,24.7042,2.8463,31.6,91.0,-23.7,1,75.4,-3.0,61.7,1175.1,1184.2,1198.1,1161.2,1152.1,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,287.73,68.0,Financial Services
JSWSTEEL,1293.7,STRONG BUY,100,1356.41,1256.08,56.0,56.5,72.8,25.5,1.3,-0.46,2.73,6.68,12.8,7.9091,8.4846,-0.5755,25.08,33.6,-48.8,1,62.8,-3.1,27.3,1291.0,1301.5,1309.3,1283.2,1272.7,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm",,95.37,55.0,Metals & Mining
IPCALAB,1911.2,STRONG BUY,100,2082.57,1808.38,64.8,58.4,73.3,25.4,0.29,0.58,9.73,23.38,37.0,39.6852,23.007,16.6782,68.55,99.3,-12.5,1,94.2,-1.7,53.2,1907.43,1925.77,1940.33,1892.87,1874.53,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,8.49,32.0,Healthcare
IDFCFIRSTB,86.75,STRONG BUY,100,90.35,84.59,64.4,68.4,60.3,38.4,0.56,1.06,6.17,13.02,33.4,1.364,1.5174,-0.1534,1.44,40.9,0.0,1,103.9,-2.0,49.8,86.36,87.14,87.52,85.98,85.2,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",,,29.0,Financial Services
REDINGTON,350.55,STRONG BUY,100,387.61,328.31,66.6,66.1,56.7,41.2,0.42,0.7,18.86,36.03,15.5,15.6982,17.4869,-1.7888,14.82,29.6,-33.4,1,68.2,-3.8,87.3,349.6,358.7,366.85,341.45,332.35,Markup,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",None,"Value+Momentum, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, StochRSI Reversal, OBV Confirm, Rel Strong",,27.26,172.0,Services
PTCIL,20629.0,STRONG BUY,100,22208.62,19681.23,68.6,61.8,51.3,38.7,1.39,5.13,13.89,17.41,244.5,594.797,452.4512,142.3458,631.85,40.3,-5.6,1,99.9,-0.8,55.7,20306.33,21111.67,21594.33,19823.67,19018.33,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong, Near 52W High",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong, Near 52W High",,17.34,0.0,Capital Goods
CARTRADE,3072.9,STRONG BUY,100,3361.03,2900.02,68.6,64.5,67.7,34.1,2.99,6.14,11.9,29.17,63.6,50.809,38.2914,12.5176,115.25,84.2,-19.4,1,119.1,-6.6,92.1,3042.63,3195.27,3317.63,2920.27,2767.63,Markup,"Breakout, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Breakout, MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,5.36,0.0,Consumer Services
CHALET,861.95,STRONG BUY,100,920.87,826.6,59.6,51.2,56.4,12.2,0.97,1.06,4.2,4.66,35.8,6.0289,4.0679,1.961,23.57,76.5,-12.3,1,88.7,-19.4,24.7,858.4,870.75,879.55,849.6,837.25,Markup,"Value+Momentum, Golden Cross, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"Value+Momentum, Golden Cross, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,64.04,23.0,Consumer Services
TBOTEK,1696.5,STRONG BUY,99,1846.09,1606.75,63.9,64.9,54.3,36.9,0.43,-0.36,11.16,19.15,67.3,56.0,51.5897,4.4102,59.84,34.5,-22.9,1,81.2,-3.9,68.9,1698.2,1712.3,1728.1,1682.4,1668.3,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,48.76,0.0,Consumer Services
MOTHERSON,169.38,STRONG BUY,99,179.68,163.2,71.3,74.3,70.2,35.0,0.35,-0.12,11.84,31.5,40.9,6.335,5.916,0.419,4.12,75.9,-15.6,1,72.4,-2.2,86.8,169.15,170.64,171.9,167.89,166.4,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,43.91,29.0,Automobile and Auto Components
ATHERENERG,1462.0,STRONG BUY,99,1606.88,1375.07,61.3,80.8,90.9,55.7,0.36,0.86,17.58,65.16,,69.226,80.4759,-11.2499,57.95,5.7,-48.5,1,61.0,-7.5,258.6,1455.53,1477.77,1493.53,1439.77,1417.53,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,25.82,0.0,Automobile and Auto Components
APARINDS,16856.0,STRONG BUY,99,18718.86,15738.28,59.8,71.5,68.2,42.5,0.48,0.43,10.47,47.63,56.7,680.2032,639.9943,40.2089,745.14,14.1,-43.8,1,68.4,-8.7,147.8,16842.0,17063.0,17270.0,16635.0,16414.0,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,17.72,38.0,Capital Goods
NEULANDLAB,23301.0,STRONG BUY,99,25180.48,22173.31,68.0,77.7,64.7,50.7,0.26,-1.13,18.76,44.48,59.9,1255.7073,1152.0355,103.6718,751.79,61.6,-12.3,1,73.3,-2.4,103.0,23383.33,23586.67,23872.33,23097.67,22894.33,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,16.07,14.0,Healthcare
NAVINFLUOR,8206.5,STRONG BUY,99,8795.11,7853.33,57.0,75.4,83.7,30.9,0.38,-0.6,5.92,23.23,53.3,174.4994,172.5055,1.9939,235.44,36.6,-46.5,1,64.3,-6.5,82.8,8257.33,8374.17,8541.83,8089.67,7972.83,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,32.09,18.0,Chemicals
RKFORGE,737.05,STRONG BUY,99,792.11,704.01,68.0,72.5,55.4,54.8,0.24,-1.12,17.72,31.18,126.9,38.9634,39.7831,-0.8197,22.02,11.8,-37.0,1,66.6,-4.6,60.4,739.95,745.8,754.55,731.2,725.35,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,74.42,27.0,Automobile and Auto Components
ETERNAL,328.0,STRONG BUY,99,348.3,315.82,69.5,65.9,67.7,38.8,1.09,0.02,12.88,20.36,713.0,9.7112,9.6632,0.048,8.12,81.4,-14.5,1,96.5,-11.0,54.3,327.93,331.77,335.53,324.17,320.33,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,14.83,0.0,Consumer Services
RADICO,4639.8,STRONG BUY,99,4896.65,4485.69,67.1,87.0,80.8,61.0,0.36,-1.2,11.41,38.33,88.2,160.516,165.8697,-5.3537,102.74,19.9,-31.9,1,69.3,-2.3,86.0,4659.6,4704.2,4768.6,4595.2,4550.6,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,20.94,15.0,Fast Moving Consumer Goods
CRAFTSMAN,10644.5,STRONG BUY,99,11452.34,10159.79,62.7,67.4,79.4,46.9,0.37,-0.43,9.76,31.17,55.0,324.8806,313.8919,10.9887,323.14,37.2,-39.0,1,71.4,-2.9,68.5,10634.17,10758.33,10872.17,10520.33,10396.17,Markup,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",None,"MTF Alignment, Supertrend Bull, EMA Ribbon Bull, OBV Confirm, Rel Strong",,111.01,11.0,Automobile and Auto Components
