Ticker,Sector,Close,Change_1D_pct,Volume_Today,Avg_Vol_20D,Vol_Ratio
COALINDIA,Oil Gas & Consumable Fuels,452.0,-0.82,5363809,22007613,0.24
COCHINSHIP,Capital Goods,1469.6,-2.04,2485233,1017773,2.44
COFORGE,Information Technology,1483.0,1.18,4808414,3108552,1.55
COHANCE,Healthcare,413.8,-2.67,1099989,705084,1.56
COLPAL,Fast Moving Consumer Goods,2027.3,-0.34,376630,504651,0.75
CAMS,Financial Services,832.8,3.17,2299443,1178743,1.95
CONCORDBIO,Healthcare,1347.5,0.56,201177,659952,0.3
CONCOR,Services,467.15,0.03,610505,1810004,0.34
COROMANDEL,Chemicals,2068.2,1.59,496995,406540,1.22
CRAFTSMAN,Automobile and Auto Components,9500.0,0.02,37639,71735,0.52
CREDITACC,Financial Services,1419.6,-1.07,181833,220287,0.83
CROMPTON,Consumer Durables,277.1,0.43,3355098,2398759,1.4
CUMMINSIND,Capital Goods,5858.0,0.43,311182,509668,0.61
CYIENT,Information Technology,873.45,-0.31,223072,562071,0.4
DCMSHRIRAM,Diversified,1039.9,-0.55,37744,44234,0.85
DLF,Realty,640.7,2.75,9820722,4279206,2.29
DOMS,Fast Moving Consumer Goods,2337.3,0.58,184887,432743,0.43
DABUR,Fast Moving Consumer Goods,428.7,-0.07,1585099,2234958,0.71
DALBHARAT,Construction Materials,1725.7,0.13,107648,267594,0.4
DATAPATTNS,Capital Goods,4802.1,0.68,1613824,1340705,1.2
DEEPAKFERT,Chemicals,1525.7,-1.6,220763,485684,0.45
DEEPAKNTR,Chemicals,1658.2,2.66,203931,100132,2.04
DELHIVERY,Services,459.2,1.69,2089128,2122375,0.98
DEVYANI,Consumer Services,115.28,1.77,13585254,3059967,4.44
DIVISLAB,Healthcare,6767.0,1.55,411890,363245,1.13
DIXON,Consumer Durables,12666.0,-1.3,465776,553527,0.84
LALPATHLAB,Healthcare,1662.9,0.67,321313,668011,0.48
DRREDDY,Healthcare,1267.5,-0.12,774063,1498922,0.52
EIDPARRY,Fast Moving Consumer Goods,721.4,-1.53,288633,451783,0.64
EIHOTEL,Consumer Services,316.5,0.51,147710,191020,0.77
EICHERMOT,Automobile and Auto Components,7601.0,1.23,485821,530330,0.92
ELECON,Capital Goods,535.0,-4.23,806475,795834,1.01
ELGIEQUIP,Capital Goods,602.0,0.32,236148,798589,0.3
EMAMILTD,Fast Moving Consumer Goods,400.35,0.05,166091,408961,0.41
EMCURE,Healthcare,1753.2,1.59,79798,151941,0.53
EMMVEE,Capital Goods,333.7,-2.78,2650794,4842226,0.55
