Ticker,Sector,PE_Ratio,EPS_TTM,Market_Cap_Cr,PB_Ratio,ROE_pct,Debt_Equity,Div_Yield,Revenue_Growth,Current_Ratio
BOSCHLTD,Automobile and Auto Components,39.352493,940.22,109126.0,7.351416,19.35,0.8,72.0,18.0,1.959
FIRSTCRY,Consumer Services,,-2.91,10660.0,2.1897519,-3.83,29.762,0.0,12.0,2.143
BRIGADE,Realty,2497.5,0.26,15885.0,2.3290303,10.79,84.316,38.0,-0.2,1.241
BRITANNIA,Fast Moving Consumer Goods,48.324314,105.33,122602.0,24.01068,53.31,26.875,179.0,7.9,1.119
MAPMYINDIA,Information Technology,33.97876,24.48,4555.0,5.028686,15.8,0.778,43.0,1.0,4.916
CCL,Fast Moving Consumer Goods,36.678116,29.11,14222.0,6.0648227,18.0,56.487,72.0,46.4,1.487
CESC,Power,15.288048,11.63,23569.0,1.8819994,12.55,164.311,333.0,5.6,0.921
CGPOWER,Capital Goods,121.64722,7.71,147715.0,18.537771,19.56,1.444,14.0,25.0,1.906
CIEINDIA,Automobile and Auto Components,20.013168,22.78,17295.0,2.3186505,,5.71,155.0,14.9,
CRISIL,Financial Services,34.034874,114.7,28548.0,9.41126,,9.785,93.0,30.1,
CANFINHOME,Financial Services,10.009808,81.57,10872.0,1.8179592,19.66,637.09,171.0,24.3,139.58
CANBK,Financial Services,6.126093,21.73,120749.0,1.0264477,15.94,,319.0,-46.7,
CANHLIFE,Financial Services,103.8106,1.32,12983.0,8.011576,8.11,15.572,0.0,-55.3,1.364
CAPLIPOINT,Healthcare,24.029743,84.05,15352.0,4.371418,19.94,0.127,41.0,19.0,6.7
CGCL,Financial Services,19.99309,10.13,19487.0,2.7105918,16.5,334.728,10.0,72.0,90.171
CARBORUNIV,Capital Goods,99.67054,10.32,19594.0,4.988675,4.37,10.292,40.0,14.9,2.668
CARTRADE,Consumer Services,42.96654,44.53,9170.0,3.687081,9.85,5.363,0.0,19.8,4.795
CASTROLIND,Oil Gas & Consumable Fuels,18.959753,9.69,18172.0,9.562774,,3.305,477.0,8.7,
CEATLTD,Automobile and Auto Components,18.680315,172.92,13031.0,2.220806,14.79,64.742,94.0,23.3,0.68
CEMPRO,Construction,32.449627,34.74,19366.0,8.068685,28.21,37.711,29.0,19.9,1.249
CENTRALBK,Financial Services,6.056,5.0,27408.0,0.7060579,11.91,,458.0,44.8,
CDSL,Financial Services,55.79551,21.81,25433.0,12.977637,23.91,0.11,103.0,5.5,2.917
CHALET,Consumer Services,26.298372,29.46,,4.584754,19.13,64.041,26.0,6.0,0.702
CHAMBLFERT,Chemicals,9.491282,48.75,18538.0,1.7788833,20.45,10.274,217.0,13.7,2.333
CHENNPETRO,Oil Gas & Consumable Fuels,5.714971,208.33,17729.0,1.5959678,32.13,17.68,109.0,-2.5,1.623
CHOICEIN,Financial Services,59.88849,11.21,14956.0,7.9416804,16.24,49.768,0.0,21.8,1.967
CHOLAHLDNG,Financial Services,11.128622,130.07,27181.0,1.758961,18.04,621.271,9.0,15.2,63.944
CHOLAFIN,Financial Services,24.056986,61.77,126673.0,4.1523924,19.33,693.261,10.0,24.1,93.304
CIPLA,Healthcare,29.145653,47.99,112987.0,3.4321313,11.74,1.778,95.0,-2.1,3.443
CUB,Financial Services,13.813131,17.82,18291.0,1.7308787,13.24,,80.0,23.6,
CLEAN,Chemicals,36.54773,21.58,8382.0,5.295386,15.31,0.135,76.0,-5.5,5.011
COALINDIA,Oil Gas & Consumable Fuels,9.548969,50.44,296828.0,2.4919806,28.12,11.629,466.0,16.2,1.856
COCHINSHIP,Capital Goods,54.092583,27.22,38736.0,6.7944274,12.52,28.466,91.0,-15.6,1.331
COFORGE,Information Technology,32.826782,43.76,61769.0,5.0587573,18.6,7.518,113.0,30.5,1.609
COHANCE,Healthcare,91.07066,4.67,16286.0,4.1682186,3.84,9.928,0.0,-26.3,2.83
COLPAL,Fast Moving Consumer Goods,41.20041,48.65,54517.0,34.41562,81.59,2.993,238.0,9.1,1.28
CAMS,Financial Services,39.725273,19.11,18826.0,14.247776,38.69,4.863,166.0,11.0,3.426
CONCORDBIO,Healthcare,50.028282,24.75,12954.0,6.431272,13.54,0.115,63.0,-24.1,7.394
